kind,role,element,fingerprint,segments,styles,example_files
RHYTHM,ACC4,Fill 2,cba2fdf5c5772adc,30,28,"[""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/Al Swing.mid"",""Factory Styles/Black Funk.mid"",""Factory Styles/Club House.mid"",""Factory Styles/Easy Beat 1.mid"",""Factory Styles/Fashion Funk.mid"",""Factory Styles/Foxtrot 2.mid"",""Factory Styles/Funky Sisters.mid""]"
RHYTHM,ACC3,Fill 2,cba2fdf5c5772adc,32,27,"[""Factory Styles/60's Dance.mid"",""Factory Styles/80's Dance.mid"",""Factory Styles/Al Swing.mid"",""Factory Styles/Blue Ballad.mid"",""Factory Styles/Color Ballad.mid"",""Factory Styles/Country Schlager.mid"",""Factory Styles/Easy Pop 1.mid"",""Factory Styles/Elektro Pop.mid""]"
PERFORMANCE,ACC1,Break,cab2fb13ea1ad71d,30,27,"[""Factory Styles/60's Dance.mid"",""Factory Styles/70's Disco 2.mid"",""Factory Styles/Bar Country.mid"",""Factory Styles/Big Band 40's.mid"",""Factory Styles/Big Band Fox.mid"",""Factory Styles/Black Funk.mid"",""Factory Styles/Blues.mid"",""Factory Styles/ClassicSchlager1.mid""]"
PERFORMANCE,BASS,Break,02a1f226febef658,26,26,"[""Factory Styles/60's Dance.mid"",""Factory Styles/70's Disco 2.mid"",""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/80's Dance.mid"",""Factory Styles/Analog Ballad 2.mid"",""Factory Styles/Analog Beat 1.mid"",""Factory Styles/Big Band 40's.mid"",""Factory Styles/Big Band Fox.mid""]"
PERFORMANCE,ACC1,Break,cf40a5513b7006af,25,25,"[""Factory Styles/50's  Fox.mid"",""Factory Styles/Analog Beat 1.mid"",""Factory Styles/Broadway.mid"",""Factory Styles/Classic Funk.mid"",""Factory Styles/Country Pop.mid"",""Factory Styles/Dance Mix.mid"",""Factory Styles/Dance Motown.mid"",""Factory Styles/Elektrik Funk.mid""]"
RHYTHM,ACC1,Fill 2,cba2fdf5c5772adc,26,24,"[""Factory Styles/60's Dance.mid"",""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/Black Funk.mid"",""Factory Styles/Blue Ballad.mid"",""Factory Styles/ClassicSchlager1.mid"",""Factory Styles/Dance Fever.mid"",""Factory Styles/Dance Motown.mid"",""Factory Styles/Easy Pop 1.mid""]"
RHYTHM,ACC3,Fill 1,cba2fdf5c5772adc,28,19,"[""Factory Styles/70's Disco 2.mid"",""Factory Styles/Color Ballad.mid"",""Factory Styles/Country Schlager.mid"",""Factory Styles/Disco Schlager.mid"",""Factory Styles/Groove.mid"",""Factory Styles/Hollywood 1.mid"",""Factory Styles/Medium BigBand1.mid"",""Factory Styles/Miami Disco.mid""]"
RHYTHM,ACC5,Variation 4,1e7588a7117d1611,27,19,"[""Factory Styles/70's Disco 1.mid"",""Factory Styles/AM _ PM.mid"",""Factory Styles/Analog Beat 1.mid"",""Factory Styles/Dance Fever.mid"",""Factory Styles/Disco Gully.mid"",""Factory Styles/Easy Ballad.mid"",""Factory Styles/Elektro Pop.mid"",""Factory Styles/Folk Beat.mid""]"
RHYTHM,PERC,Fill 2,ab575b1c3401fa68,27,18,"[""Factory Styles/60's Dance.mid"",""Factory Styles/Acoustic Bld_3_4.mid"",""Factory Styles/Bar Country.mid"",""Factory Styles/Country 16 Beat.mid"",""Factory Styles/Country 8 Beat.mid"",""Factory Styles/Country Beat 2.mid"",""Factory Styles/Country Schlager.mid"",""Factory Styles/Fox Schlager.mid""]"
RHYTHM,PERC,Fill 1,ab575b1c3401fa68,25,18,"[""Factory Styles/Acoustic Bld_3_4.mid"",""Factory Styles/Analog Ballad 1.mid"",""Factory Styles/Country 16 Beat.mid"",""Factory Styles/Country 8 Beat.mid"",""Factory Styles/Country Beat 2.mid"",""Factory Styles/Disco Latin.mid"",""Factory Styles/Fox Schlager.mid"",""Factory Styles/Medium Schlager.mid""]"
RHYTHM,ACC5,Fill 1,cba2fdf5c5772adc,21,17,"[""Factory Styles/70's Disco 1.mid"",""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/British Pop.mid"",""Factory Styles/Disco Gully.mid"",""Factory Styles/Disco Schlager.mid"",""Factory Styles/Easy Beat 1.mid"",""Factory Styles/Easy Listening.mid"",""Factory Styles/Easy Pop 1.mid""]"
RHYTHM,ACC2,Fill 1,cba2fdf5c5772adc,22,16,"[""Factory Styles/70's Disco 1.mid"",""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/Analog Ballad 2.mid"",""Factory Styles/Easy Listening.mid"",""Factory Styles/Fox Schlager.mid"",""Factory Styles/Groove Ballad.mid"",""Factory Styles/Groove Funk.mid"",""Factory Styles/Hollywood 2.mid""]"
RHYTHM,PERC,Fill 2,cbbb233e1293faca,18,16,"[""Factory Styles/80's Dance.mid"",""Factory Styles/Analog Beat 2.mid"",""Factory Styles/Barry Dance.mid"",""Factory Styles/Easy Pop 1.mid"",""Factory Styles/Elektrik Funk.mid"",""Factory Styles/Funky Ballad.mid"",""Factory Styles/Guitar Ballad.mid"",""Factory Styles/Guitar Beat.mid""]"
RHYTHM,DRUM,Variation 4,1b44db378d271dbf,23,15,"[""Factory Styles/8 Beat Analog 2.mid"",""Factory Styles/80's Dance.mid"",""Factory Styles/Country Strum.mid"",""Factory Styles/Elektrik Funk.mid"",""Factory Styles/Elektro Pop.mid"",""Factory Styles/Groove Ballad.mid"",""Factory Styles/Groove It Up.mid"",""Factory Styles/Half Beat.mid""]"
RHYTHM,PERC,Variation 4,1b44db378d271dbf,21,15,"[""Factory Styles/70's Disco 1.mid"",""Factory Styles/8 Beat Analog 2.mid"",""Factory Styles/Analog Ballad 2.mid"",""Factory Styles/Analog Beat 1.mid"",""Factory Styles/Classic Funk.mid"",""Factory Styles/Dance Motown.mid"",""Factory Styles/Elektro Pop.mid"",""Factory Styles/Funky Ballad.mid""]"
RHYTHM,ACC2,Fill 2,cba2fdf5c5772adc,16,15,"[""Factory Styles/60's Dance.mid"",""Factory Styles/Analog Ballad 2.mid"",""Factory Styles/Fox Shuffle 2.mid"",""Factory Styles/Groove Funk.mid"",""Factory Styles/HipHop Funk.mid"",""Factory Styles/Love Disco.mid"",""Factory Styles/Medium Schlager.mid"",""Factory Styles/Orchestral Tango.mid""]"
RHYTHM,ACC1,Ending 3,fbe5603d7d9ffd97,15,15,"[""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/Blue Ballad.mid"",""Factory Styles/Dance Fever.mid"",""Factory Styles/Fox Schlager.mid"",""Factory Styles/Funky Ballad.mid"",""Factory Styles/Jazz Club.mid"",""Factory Styles/Kool Funk.mid"",""Factory Styles/Operetta.mid""]"
RHYTHM,PERC,Fill 1,cbbb233e1293faca,21,14,"[""Factory Styles/Barry Dance.mid"",""Factory Styles/Caribbean.mid"",""Factory Styles/Disco Schlager.mid"",""Factory Styles/Easy Pop 1.mid"",""Factory Styles/Elektrik Funk.mid"",""Factory Styles/Folk Ballad 1.mid"",""Factory Styles/Folk Ballad 2.mid"",""Factory Styles/Funky Ballad.mid""]"
RHYTHM,BASS,Fill 2,ea026ee5c50d7a3c,17,14,"[""Factory Styles/80's Dance.mid"",""Factory Styles/Bluegrass.mid"",""Factory Styles/Easy Listening.mid"",""Factory Styles/English Tango.mid"",""Factory Styles/Foxtrot 2.mid"",""Factory Styles/Italian Fox.mid"",""Factory Styles/Italian Tango 1.mid"",""Factory Styles/Italian Tango 2.mid""]"
PERFORMANCE,ACC1,Break,821e4a1733acac33,16,14,"[""Factory Styles/70's Disco 1.mid"",""Factory Styles/80's Dance.mid"",""Factory Styles/ClassicSchlager2.mid"",""Factory Styles/Disco Latin.mid"",""Factory Styles/Fashion Funk.mid"",""Factory Styles/French Waltz.mid"",""Factory Styles/House Garage.mid"",""Factory Styles/Little Boy.mid""]"
RHYTHM,BASS,Break,236aadd652eb85b6,15,14,"[""Factory Styles/Acoustic Bld_3_4.mid"",""Factory Styles/Analog Beat 2.mid"",""Factory Styles/Country QuikStep.mid"",""Factory Styles/Country Strum.mid"",""Factory Styles/Dance Mix.mid"",""Factory Styles/Dance Motown.mid"",""Factory Styles/Folk Beat.mid"",""Factory Styles/German Polka.mid""]"
PERFORMANCE,BASS,Break,821e4a1733acac33,15,14,"[""Factory Styles/50's  Fox.mid"",""Factory Styles/Ballad 6_8 1.mid"",""Factory Styles/Blue Ballad.mid"",""Factory Styles/Country 16 Beat.mid"",""Factory Styles/Country 3_4.mid"",""Factory Styles/Country 8 Beat.mid"",""Factory Styles/Country Ballad 2.mid"",""Factory Styles/CountryShuffle 2.mid""]"
PERFORMANCE,ACC1,Break,91cbcfd0604660a0,14,14,"[""Factory Styles/Al Funk.mid"",""Factory Styles/Blue Ballad.mid"",""Factory Styles/Classic Beat.mid"",""Factory Styles/Country Schlager.mid"",""Factory Styles/Easy Listening.mid"",""Factory Styles/Folk Beat.mid"",""Factory Styles/Kool Beat.mid"",""Factory Styles/Movie Ballad.mid""]"
PERFORMANCE,BASS,Intro 3,6a0e1c72e9798165,14,14,"[""Factory Styles/Blues Ballad.mid"",""Factory Styles/ClassicSchlager1.mid"",""Factory Styles/ClassicSchlager3.mid"",""Factory Styles/Easy Beat 2.mid"",""Factory Styles/Medium Schlager.mid"",""Factory Styles/Modern Beat.mid"",""Factory Styles/Organ Evergreens.mid"",""Factory Styles/Philly Disco.mid""]"
RHYTHM,PERC,Break,cba2fdf5c5772adc,16,13,"[""Factory Styles/70's Disco 1.mid"",""Factory Styles/Alpen Ballade.mid"",""Factory Styles/Alpen Rock.mid"",""Factory Styles/Blues Ballad.mid"",""Factory Styles/Country QuikStep.mid"",""Factory Styles/Country Strum.mid"",""Factory Styles/Groove Ballad.mid"",""Factory Styles/Groove It Up.mid""]"
PERFORMANCE,ACC1,Break,008bedb44c21871a,14,13,"[""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/Al Funk.mid"",""Factory Styles/Analog Ballad 1.mid"",""Factory Styles/Analog Beat 2.mid"",""Factory Styles/Ballad 6_8 1.mid"",""Factory Styles/Fox Shuffle 1.mid"",""Factory Styles/Groove It Up.mid"",""Factory Styles/Modern Latin.mid""]"
PERFORMANCE,BASS,Break,b079cd60f97a92cc,13,13,"[""Factory Styles/Black Funk.mid"",""Factory Styles/Broadway.mid"",""Factory Styles/Country Boogie.mid"",""Factory Styles/Fast Big Band 2.mid"",""Factory Styles/French Waltz.mid"",""Factory Styles/Groove Funk.mid"",""Factory Styles/Modern Country.mid"",""Factory Styles/Musette Waltz.mid""]"
RHYTHM,PERC,Variation 3,1b44db378d271dbf,21,12,"[""Factory Styles/70's Disco 1.mid"",""Factory Styles/80's Dance.mid"",""Factory Styles/Analog Ballad 2.mid"",""Factory Styles/Analog Beat 1.mid"",""Factory Styles/Classic Funk.mid"",""Factory Styles/Funky Ballad.mid"",""Factory Styles/Guitar Ballad.mid"",""Factory Styles/Love Disco.mid""]"
RHYTHM,DRUM,Variation 1,93b5c2399bacfb08,20,12,"[""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/Country Ballad 1.mid"",""Factory Styles/Country Ballad 2.mid"",""Factory Styles/Dance Motown.mid"",""Factory Styles/Dance Schlager.mid"",""Factory Styles/Fox Schlager.mid"",""Factory Styles/Guitar Ballad.mid"",""Factory Styles/Half Beat.mid""]"
RHYTHM,ACC4,Fill 1,cba2fdf5c5772adc,15,12,"[""Factory Styles/70's Disco 1.mid"",""Factory Styles/Alpen Ballade.mid"",""Factory Styles/Analog Ballad 2.mid"",""Factory Styles/Desert Shuffle.mid"",""Factory Styles/Foxtrot 2.mid"",""Factory Styles/Pop 12_8.mid"",""Factory Styles/Pop Chart 2.mid"",""Factory Styles/Schlager 2.mid""]"
RHYTHM,ACC3,Ending 3,fbe5603d7d9ffd97,12,12,"[""Factory Styles/Color Ballad.mid"",""Factory Styles/Country Schlager.mid"",""Factory Styles/Disco Schlager.mid"",""Factory Styles/Medium Schlager.mid"",""Factory Styles/Organ Evergreens.mid"",""Factory Styles/Samba Medley.mid"",""Factory Styles/Schlager 1.mid"",""Factory Styles/Schlager 2.mid""]"
RHYTHM,ACC5,Variation 4,a6a795ffd4fa67b3,20,11,"[""Factory Styles/70's Disco 2.mid"",""Factory Styles/Easy Beat 2.mid"",""Factory Styles/Easy Pop 2.mid"",""Factory Styles/Fast Pop.mid"",""Factory Styles/Fox Shuffle 1.mid"",""Factory Styles/Jazzy PopFunk.mid"",""Factory Styles/Kool Beat.mid"",""Factory Styles/Modern Latin.mid""]"
RHYTHM,ACC5,Variation 3,1e7588a7117d1611,17,11,"[""Factory Styles/Analog Beat 1.mid"",""Factory Styles/Argentina Tango.mid"",""Factory Styles/Country 8 Beat.mid"",""Factory Styles/Dance Fever.mid"",""Factory Styles/Disco Gully.mid"",""Factory Styles/Fox Shuffle 2.mid"",""Factory Styles/Italian Tango 1.mid"",""Factory Styles/Little Shuffle.mid""]"
RHYTHM,BASS,Fill 2,ab575b1c3401fa68,16,11,"[""Factory Styles/70's Disco 2.mid"",""Factory Styles/Alpen Rock.mid"",""Factory Styles/Bar Country.mid"",""Factory Styles/Country Boogie.mid"",""Factory Styles/Dance Schlager.mid"",""Factory Styles/Disco Latin.mid"",""Factory Styles/Fashion Funk.mid"",""Factory Styles/Modern Country.mid""]"
RHYTHM,ACC4,Variation 4,1e7588a7117d1611,15,11,"[""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/Club House.mid"",""Factory Styles/Funky Sisters.mid"",""Factory Styles/Groove Ballad.mid"",""Factory Styles/Groove Funk.mid"",""Factory Styles/Guitar Ballad.mid"",""Factory Styles/Karma.mid"",""Factory Styles/Kool Funk.mid""]"
RHYTHM,BASS,Fill 2,eff7f5b5b7138bb4,15,11,"[""Factory Styles/French Waltz.mid"",""Factory Styles/German Waltz 1.mid"",""Factory Styles/German Waltz 2.mid"",""Factory Styles/German Waltz 3.mid"",""Factory Styles/Italian Mazurka2.mid"",""Factory Styles/Italian Waltz.mid"",""Factory Styles/Oberkr_ Waltz 1.mid"",""Factory Styles/Oberkr_ Waltz 2.mid""]"
RHYTHM,ACC5,Ending 3,c19637d579edc933,12,11,"[""Factory Styles/AM _ PM.mid"",""Factory Styles/Easy Ballad.mid"",""Factory Styles/Easy Listening.mid"",""Factory Styles/English Tango.mid"",""Factory Styles/Italian Tango 1.mid"",""Factory Styles/Little Shuffle.mid"",""Factory Styles/Philly Disco.mid"",""Factory Styles/Slow Latin Pop.mid""]"
PERFORMANCE,ACC2,Break,cab2fb13ea1ad71d,12,11,"[""Factory Styles/Bavarian Pop.mid"",""Factory Styles/Country 3_4.mid"",""Factory Styles/Dance Motown.mid"",""Factory Styles/Jazz Funk.mid"",""Factory Styles/Jazzy PopFunk.mid"",""Factory Styles/Love Disco.mid"",""Factory Styles/Motown Shuffle 1.mid"",""Factory Styles/Organ Evergreens.mid""]"
RHYTHM,ACC5,Ending 3,cba2fdf5c5772adc,11,11,"[""Factory Styles/Analog Beat 2.mid"",""Factory Styles/Easy Beat 2.mid"",""Factory Styles/Easy Pop 1.mid"",""Factory Styles/Easy Pop 2.mid"",""Factory Styles/Guitar Beat.mid"",""Factory Styles/Half Beat.mid"",""Factory Styles/Jazzy PopFunk.mid"",""Factory Styles/Modern Beat.mid""]"
RHYTHM,DRUM,Variation 3,93b5c2399bacfb08,19,10,"[""Factory Styles/80's Dance.mid"",""Factory Styles/Analog Beat 1.mid"",""Factory Styles/Classic Beat.mid"",""Factory Styles/Country Ballad 2.mid"",""Factory Styles/Fox Schlager.mid"",""Factory Styles/Miami Disco.mid"",""Factory Styles/Real 8 Beat.mid"",""Factory Styles/Standard 8 Beat.mid""]"
RHYTHM,DRUM,Variation 1,295ab2fd02be5343,19,10,"[""Factory Styles/Acoustic Bld_3_4.mid"",""Factory Styles/Alpen Rock.mid"",""Factory Styles/Analog Ballad 1.mid"",""Factory Styles/Analog Beat 2.mid"",""Factory Styles/Bavarian Pop.mid"",""Factory Styles/Disco Schlager.mid"",""Factory Styles/Rock Schlager.mid"",""Factory Styles/Schlager 4.mid""]"
RHYTHM,DRUM,Variation 3,1b44db378d271dbf,17,10,"[""Factory Styles/8 Beat Analog 2.mid"",""Factory Styles/Country Strum.mid"",""Factory Styles/Elektrik Funk.mid"",""Factory Styles/Groove Ballad.mid"",""Factory Styles/Groove It Up.mid"",""Factory Styles/Half Beat.mid"",""Factory Styles/Love Disco.mid"",""Factory Styles/Organ Ballad.mid""]"
RHYTHM,DRUM,Variation 2,93b5c2399bacfb08,17,10,"[""Factory Styles/Acoustic Bld_3_4.mid"",""Factory Styles/Classic Beat.mid"",""Factory Styles/Dance Schlager.mid"",""Factory Styles/Fox Schlager.mid"",""Factory Styles/Half Beat.mid"",""Factory Styles/Organ Ballad.mid"",""Factory Styles/Real 8 Beat.mid"",""Factory Styles/Standard 8 Beat.mid""]"
RHYTHM,BASS,Fill 1,ab575b1c3401fa68,16,10,"[""Factory Styles/60's Dance.mid"",""Factory Styles/70's Disco 1.mid"",""Factory Styles/70's Disco 2.mid"",""Factory Styles/Bavarian Pop.mid"",""Factory Styles/Dance Mix.mid"",""Factory Styles/Dance Schlager.mid"",""Factory Styles/Disco Latin.mid"",""Factory Styles/Fox Schlager.mid""]"
PERFORMANCE,ACC5,Fill 2,91cbcfd0604660a0,12,10,"[""Factory Styles/Argentina Tango.mid"",""Factory Styles/Easy Listening.mid"",""Factory Styles/Funky Ballad.mid"",""Factory Styles/Guitar Beat.mid"",""Factory Styles/Italian Tango 1.mid"",""Factory Styles/Oriental Dance.mid"",""Factory Styles/Philly Disco.mid"",""Factory Styles/Slow Latin Pop.mid""]"
RHYTHM,DRUM,Fill 2,d3d30fc769025b35,11,10,"[""Factory Styles/80's Dance.mid"",""Factory Styles/Al Funk.mid"",""Factory Styles/Classic Beat.mid"",""Factory Styles/Easy Beat 1.mid"",""Factory Styles/Groove It Up.mid"",""Factory Styles/Pop Funk.mid"",""Factory Styles/Soft 16 Beat.mid"",""Factory Styles/Standard 16 Beat.mid""]"
PERFORMANCE,ACC1,Fill 1,fcc64df40ac60bc6,11,10,"[""Factory Styles/8 Beat Analog 1.mid"",""Factory Styles/Analog Ballad 1.mid"",""Factory Styles/Fox Shuffle 1.mid"",""Factory Styles/Medium BigBand2.mid"",""Factory Styles/Modern Ballad.mid"",""Factory Styles/Operetta.mid"",""Factory Styles/Pop Groove.mid"",""Factory Styles/Smooth Jazz.mid""]"
PERFORMANCE,ACC4,Break,cab2fb13ea1ad71d,10,10,"[""Factory Styles/Bluegrass.mid"",""Factory Styles/Country Schlager.mid"",""Factory Styles/Easy Listening.mid"",""Factory Styles/Foxtrot 2.mid"",""Factory Styles/Funk R&B.mid"",""Factory Styles/Jazzy PopFunk.mid"",""Factory Styles/Organ Evergreens.mid"",""Factory Styles/Pop 12_8.mid""]"
RHYTHM,DRUM,Variation 3,56fc38eac7c10cbd,25,9,"[""Factory Styles/60's Dance.mid"",""Factory Styles/Bar Country.mid"",""Factory Styles/Bluegrass.mid"",""Factory Styles/Country Beat 2.mid"",""Factory Styles/Country Pop.mid"",""Factory Styles/Moonlight Ballad.mid"",""Factory Styles/Oriental Ballad.mid"",""Factory Styles/Party Polka.mid""]"
RHYTHM,ACC4,Variation 4,c19637d579edc933,15,9,"[""Factory Styles/Analog Ballad 1.mid"",""Factory Styles/Analog Beat 2.mid"",""Factory Styles/Black Funk.mid"",""Factory Styles/Meditando.mid"",""Factory Styles/Party Mix.mid"",""Factory Styles/Schlager 3.mid"",""Factory Styles/Schlager Rhumba.mid"",""Factory Styles/SchlagerShuffle1.mid""]"
RHYTHM,DRUM,Variation 2,295ab2fd02be5343,14,9,"[""Factory Styles/Alpen Rock.mid"",""Factory Styles/Analog Ballad 1.mid"",""Factory Styles/Analog Beat 2.mid"",""Factory Styles/Bavarian Pop.mid"",""Factory Styles/Club House.mid"",""Factory Styles/Disco Schlager.mid"",""Factory Styles/Party Mix.mid"",""Factory Styles/Schlager 4.mid""]"
RHYTHM,DRUM,Fill 2,c182967dce2a507b,14,9,"[""Factory Styles/Country 16 Beat.mid"",""Factory Styles/Country 8 Beat.mid"",""Factory Styles/Country Ballad 2.mid"",""Factory Styles/Country Schlager.mid"",""Factory Styles/Disco Latin.mid"",""Factory Styles/Fox Schlager.mid"",""Factory Styles/Medium Schlager.mid"",""Factory Styles/Modern Country.mid""]"
PERFORMANCE,ACC5,Break,821e4a1733acac33,14,9,"[""Factory Styles/Blues Ballad.mid"",""Factory Styles/Easy Beat 1.mid"",""Factory Styles/Fashion Funk.mid"",""Factory Styles/Funk R&B.mid"",""Factory Styles/Funky Ballad.mid"",""Factory Styles/Guitar Beat.mid"",""Factory Styles/Schlager 2.mid"",""Factory Styles/Schlager 3.mid""]"
RHYTHM,PERC,Variation 2,93b5c2399bacfb08,13,9,"[""Factory Styles/Acoustic Bld_3_4.mid"",""Factory Styles/Country 8 Beat.mid"",""Factory Styles/Fox Schlager.mid"",""Factory Styles/Guitar Ballad.mid"",""Factory Styles/HipHop.mid"",""Factory Styles/Pop Funk 2.mid"",""Factory Styles/Schlager 1.mid"",""Factory Styles/Standard 16 Beat.mid""]"
RHYTHM,DRUM,Variation 3,295ab2fd02be5343,13,9,"[""Factory Styles/Alpen Rock.mid"",""Factory Styles/Analog Beat 2.mid"",""Factory Styles/Bavarian Pop.mid"",""Factory Styles/Caribbean.mid"",""Factory Styles/Disco Schlager.mid"",""Factory Styles/Party Mix.mid"",""Factory Styles/Rock Schlager.mid"",""Factory Styles/Schlager 4.mid""]"
RHYTHM,ACC1,Fill 2,ab575b1c3401fa68,12,9,"[""Factory Styles/Bar Country.mid"",""Factory Styles/Country Boogie.mid"",""Factory Styles/Dance Schlager.mid"",""Factory Styles/Medium Schlager.mid"",""Factory Styles/Rock Schlager.mid"",""Factory Styles/Schlager Rhumba.mid"",""Factory Styles/Tap Dance.mid"",""Factory Styles/Twist.mid""]"
RHYTHM,PERC,Ending 3,84d3429868e61ae6,12,9,"[""Factory Styles/Country 16 Beat.mid"",""Factory Styles/Country 8 Beat.mid"",""Factory Styles/Country Beat 2.mid"",""Factory Styles/Country Boogie.mid"",""Factory Styles/Country Schlager.mid"",""Factory Styles/Modern Gospel 2.mid"",""Factory Styles/Schlager 2.mid"",""Factory Styles/Schlager 3.mid""]"
RHYTHM,ACC4,Ending 3,cba2fdf5c5772adc,10,9,"[""Factory Styles/Fox Shuffle 1.mid"",""Factory Styles/Foxtrot 2.mid"",""Factory Styles/Funky Sisters.mid"",""Factory Styles/Groove Ballad.mid"",""Factory Styles/Groove Funk.mid"",""Factory Styles/Guitar Ballad.mid"",""Factory Styles/Karma.mid"",""Factory Styles/Real 16 Beat.mid""]"
RHYTHM,ACC5,Ending 2,1e7588a7117d1611,9,9,"[""Factory Styles/Analog Beat 2.mid"",""Factory Styles/Disco Gully.mid"",""Factory Styles/Easy Beat 2.mid"",""Factory Styles/Easy Listening.mid"",""Factory Styles/Folk Beat.mid"",""Factory Styles/Half Beat.mid"",""Factory Styles/Little Shuffle.mid"",""Factory Styles/Modern Beat.mid""]"
PERFORMANCE,ACC2,Break,821e4a1733acac33,9,9,"[""Factory Styles/50's  Fox.mid"",""Factory Styles/Analog Ballad 2.mid"",""Factory Styles/Broadway.mid"",""Factory Styles/Fast Big Band 2.mid"",""Factory Styles/Foxtrot 1.mid"",""Factory Styles/German Waltz 1.mid"",""Factory Styles/Serenade Band.mid"",""Factory Styles/Tap Dance.mid""]"
