kind,case_id,family,role,address,top1_correct,top3_correct,false_positive,preference,mud_failure,status,stuck_note,wrong_program,lost_articulation,playback_error,comments
voice,VOICE_GUITAR_03,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_04,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_05,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_06,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_07,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_08,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_09,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_10,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_11,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_12,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_13,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_14,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_15,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_16,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_17,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_18,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_19,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_20,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_21,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_22,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_23,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_24,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_25,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_26,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_27,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_28,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_29,GUITAR,,,,,,,,,,,,,
voice,VOICE_GUITAR_30,GUITAR,,,,,,,,,,,,,
voice,VOICE_STRINGS_01,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_02,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_03,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_04,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_05,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_06,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_07,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_08,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_09,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_10,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_11,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_12,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_13,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_14,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_15,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_16,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_17,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_18,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_19,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_20,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_21,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_22,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_23,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_24,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_25,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_26,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_27,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_28,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_29,STRINGS,,,,,,,,,,,,,
voice,VOICE_STRINGS_30,STRINGS,,,,,,,,,,,,,
voice,VOICE_BRASS_01,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_02,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_03,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_04,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_05,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_06,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_07,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_08,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_09,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_10,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_11,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_12,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_13,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_14,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_15,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_16,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_17,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_18,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_19,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_20,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_21,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_22,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_23,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_24,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_25,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_26,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_27,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_28,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_29,BRASS,,,,,,,,,,,,,
voice,VOICE_BRASS_30,BRASS,,,,,,,,,,,,,
voice,VOICE_REED_01,REED,,,,,,,,,,,,,
voice,VOICE_REED_02,REED,,,,,,,,,,,,,
voice,VOICE_REED_03,REED,,,,,,,,,,,,,
voice,VOICE_REED_04,REED,,,,,,,,,,,,,
voice,VOICE_REED_05,REED,,,,,,,,,,,,,
voice,VOICE_REED_06,REED,,,,,,,,,,,,,
voice,VOICE_REED_07,REED,,,,,,,,,,,,,
voice,VOICE_REED_08,REED,,,,,,,,,,,,,
voice,VOICE_REED_09,REED,,,,,,,,,,,,,
voice,VOICE_REED_10,REED,,,,,,,,,,,,,
voice,VOICE_REED_11,REED,,,,,,,,,,,,,
voice,VOICE_REED_12,REED,,,,,,,,,,,,,
voice,VOICE_REED_13,REED,,,,,,,,,,,,,
voice,VOICE_REED_14,REED,,,,,,,,,,,,,
voice,VOICE_REED_15,REED,,,,,,,,,,,,,
voice,VOICE_REED_16,REED,,,,,,,,,,,,,
voice,VOICE_REED_17,REED,,,,,,,,,,,,,
voice,VOICE_REED_18,REED,,,,,,,,,,,,,
voice,VOICE_REED_19,REED,,,,,,,,,,,,,
voice,VOICE_REED_20,REED,,,,,,,,,,,,,
voice,VOICE_REED_21,REED,,,,,,,,,,,,,
voice,VOICE_REED_22,REED,,,,,,,,,,,,,
voice,VOICE_REED_23,REED,,,,,,,,,,,,,
voice,VOICE_REED_24,REED,,,,,,,,,,,,,
voice,VOICE_REED_25,REED,,,,,,,,,,,,,
voice,VOICE_REED_26,REED,,,,,,,,,,,,,
voice,VOICE_REED_27,REED,,,,,,,,,,,,,
voice,VOICE_REED_28,REED,,,,,,,,,,,,,
voice,VOICE_REED_29,REED,,,,,,,,,,,,,
voice,VOICE_REED_30,REED,,,,,,,,,,,,,
voice,VOICE_ORGAN_01,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_02,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_03,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_04,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_05,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_06,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_07,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_08,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_09,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_10,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_11,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_12,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_13,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_14,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_15,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_16,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_17,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_18,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_19,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_20,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_21,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_22,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_23,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_24,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_25,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_26,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_27,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_28,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_29,ORGAN,,,,,,,,,,,,,
voice,VOICE_ORGAN_30,ORGAN,,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_01,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_02,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_03,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_04,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_05,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_06,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_07,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_08,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_09,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_10,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_11,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_12,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_13,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_14,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_15,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_16,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_17,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_18,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_19,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_20,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_21,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_22,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_23,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_24,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_25,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_26,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_27,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_28,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_29,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_DRUM_30,,FOUNDATION_DRUM,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_01,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_02,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_03,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_04,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_05,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_06,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_07,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_08,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_09,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_10,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_11,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_12,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_13,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_14,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_15,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_16,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_17,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_18,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_19,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_20,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_21,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_22,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_23,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_24,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_25,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_26,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_27,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_28,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_29,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_FOUNDATION_BASS_30,,FOUNDATION_BASS,,,,,,,,,,,,
fx,FX_LEAD_01,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_02,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_03,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_04,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_05,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_06,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_07,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_08,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_09,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_10,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_11,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_12,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_13,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_14,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_15,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_16,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_17,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_18,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_19,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_20,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_21,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_22,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_23,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_24,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_25,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_26,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_27,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_28,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_29,,LEAD,,,,,,,,,,,,
fx,FX_LEAD_30,,LEAD,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_01,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_02,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_03,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_04,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_05,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_06,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_07,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_08,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_09,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_10,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_11,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_12,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_13,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_14,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_15,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_16,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_17,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_18,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_19,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_20,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_21,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_22,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_23,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_24,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_25,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_26,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_27,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_28,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_29,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_HARMONIC_COMP_30,,HARMONIC_COMP,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_01,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_02,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_03,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_04,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_05,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_06,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_07,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_08,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_09,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_10,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_11,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_12,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_13,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_14,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_15,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_16,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_17,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_18,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_19,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_20,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_21,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_22,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_23,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_24,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_25,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_26,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_27,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_28,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_29,,PAD_BACKGROUND,,,,,,,,,,,,
fx,FX_PAD_BACKGROUND_30,,PAD_BACKGROUND,,,,,,,,,,,,
dnc,DNC_01,PIANO,,121.25.4,,,,,,UNKNOWN,,,,,
dnc,DNC_02,PIANO,,121.26.4,,,,,,UNKNOWN,,,,,
dnc,DNC_03,ACCORDION_REED,,121.5.22,,,,,,UNKNOWN,,,,,
dnc,DNC_04,ORGAN,,121.13.18,,,,,,UNKNOWN,,,,,
dnc,DNC_05,GUITAR,,121.18.24,,,,,,UNKNOWN,,,,,
dnc,DNC_06,GUITAR,,121.19.24,,,,,,UNKNOWN,,,,,
dnc,DNC_07,GUITAR,,121.34.25,,,,,,UNKNOWN,,,,,
dnc,DNC_08,GUITAR,,121.35.25,,,,,,UNKNOWN,,,,,
dnc,DNC_09,GUITAR,,121.7.26,,,,,,UNKNOWN,,,,,
dnc,DNC_10,GUITAR,,121.3.29,,,,,,UNKNOWN,,,,,
dnc,DNC_11,ENSEMBLE,,121.7.49,,,,,,UNKNOWN,,,,,
dnc,DNC_12,ENSEMBLE,,121.8.49,,,,,,UNKNOWN,,,,,
dnc,DNC_13,ENSEMBLE,,121.20.52,,,,,,UNKNOWN,,,,,
dnc,DNC_14,BRASS,,121.24.56,,,,,,UNKNOWN,,,,,
